"filename", "language", "YAML", "Swift", "Markdown", "JSON", "C++", "XML", "Dart", "HTML", "Gradle", "Properties", "comment", "blank", "total"
"d:\komiwall-master\komiwall-master\lib\components\general\login_field.dart", "Dart", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 4, 46
"d:\komiwall-master\komiwall-master\lib\components\general\my_appbar.dart", "Dart", 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 4, 88
"d:\komiwall-master\komiwall-master\lib\components\general\my_navbar.dart", "Dart", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 4, 50
"d:\komiwall-master\komiwall-master\lib\components\general\shimmer.dart", "Dart", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 4, 21
"d:\komiwall-master\komiwall-master\lib\components\home_comp\featured_tile.dart", "Dart", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 2, 52
"d:\komiwall-master\komiwall-master\lib\components\home_comp\leads_tile.dart", "Dart", 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 2, 72
"d:\komiwall-master\komiwall-master\lib\components\home_comp\offerwall_tile.dart", "Dart", 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 2, 86
"d:\komiwall-master\komiwall-master\lib\components\navbar_dep.dart", "Dart", 0, 0, 0, 0, 0, 0, 466, 0, 0, 0, 21, 44, 531
"d:\komiwall-master\komiwall-master\lib\components\profile_comp\app_info_box.dart", "Dart", 0, 0, 0, 0, 0, 0, 200, 0, 0, 0, 5, 8, 213
"d:\komiwall-master\komiwall-master\lib\components\profile_comp\user_action_box.dart", "Dart", 0, 0, 0, 0, 0, 0, 247, 0, 0, 0, 9, 3, 259
"d:\komiwall-master\komiwall-master\lib\components\profile_comp\user_details_box.dart", "Dart", 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 6, 5, 102
"d:\komiwall-master\komiwall-master\lib\firebase_options.dart", "Dart", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 12, 3, 63
"d:\komiwall-master\komiwall-master\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 4, 27
"d:\komiwall-master\komiwall-master\lib\models\cashout_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 6, 41
"d:\komiwall-master\komiwall-master\lib\models\leaderboard_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 5, 9, 53
"d:\komiwall-master\komiwall-master\lib\models\leads_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 5, 6, 46
"d:\komiwall-master\komiwall-master\lib\models\networks_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 5, 6, 49
"d:\komiwall-master\komiwall-master\lib\models\tapwar_ranking_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 5, 6, 43
"d:\komiwall-master\komiwall-master\lib\models\user_data_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 143, 0, 0, 0, 0, 12, 155
"d:\komiwall-master\komiwall-master\lib\models\youmi_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 173, 0, 0, 0, 0, 17, 190
"d:\komiwall-master\komiwall-master\lib\screens\auth\login_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 137, 0, 0, 0, 0, 8, 145
"d:\komiwall-master\komiwall-master\lib\screens\auth\signup_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 242, 0, 0, 0, 0, 7, 249
"d:\komiwall-master\komiwall-master\lib\screens\auth\welcome_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 4, 61
"d:\komiwall-master\komiwall-master\lib\screens\index.dart", "Dart", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 10, 78
"d:\komiwall-master\komiwall-master\lib\screens\main\cashout_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 4, 75
"d:\komiwall-master\komiwall-master\lib\screens\main\game_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 3, 38
"d:\komiwall-master\komiwall-master\lib\screens\main\games\scratch_game.dart", "Dart", 0, 0, 0, 0, 0, 0, 337, 0, 0, 0, 1, 12, 350
"d:\komiwall-master\komiwall-master\lib\screens\main\games\tap_game.dart", "Dart", 0, 0, 0, 0, 0, 0, 233, 0, 0, 0, 0, 7, 240
"d:\komiwall-master\komiwall-master\lib\screens\main\games\wheel_game.dart", "Dart", 0, 0, 0, 0, 0, 0, 202, 0, 0, 0, 0, 17, 219
"d:\komiwall-master\komiwall-master\lib\screens\main\home_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 189, 0, 0, 0, 0, 10, 199
"d:\komiwall-master\komiwall-master\lib\screens\main\ranking_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 211, 0, 0, 0, 0, 5, 216
"d:\komiwall-master\komiwall-master\lib\screens\profile_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 3, 3, 103
"d:\komiwall-master\komiwall-master\lib\screens\wallet_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 300, 0, 0, 0, 7, 7, 314
"d:\komiwall-master\komiwall-master\lib\services\auth_api\auth_api.dart", "Dart", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 9, 67
"d:\komiwall-master\komiwall-master\lib\services\cashout_api\cashout_api.dart", "Dart", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 8, 54
"d:\komiwall-master\komiwall-master\lib\services\earn_api\leads_api.dart", "Dart", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 5, 28
